"","id","pref","LDP-JCP-NPD-CGP","DPJ","Best Outsider"
"1",50101,1,0.523845891643757,0.457342733085066,0
"2",50102,1,0.532656880978148,0.45305916593992,0
"3",50103,1,0.551567727020723,0.437409123717271,0
"4",50104,1,0.515501727383506,0.471800628060046,0
"5",50105,1,0.602199461084373,0.387978754886843,0
"6",50106,1,0.522779547326971,0.466620391693859,0
"7",50107,1,0.506486112164177,0.482589026208709,0
"8",50108,1,0.490663148766583,0.498027638886326,0
"9",50109,1,0.496598594786264,0.492645610348677,0
"10",50110,1,0.288525264899549,0.408682953429221,0.293580037573345
"11",50111,1,0.581929681898888,0.407194445380052,0
"12",50112,1,0.569128376081133,0.42223300246287,0
"13",50201,2,0.436783695073122,0.340787235139455,0.113333677029094
"14",50202,2,0.610168979575963,0.298964862359751,0.086382462940517
"15",50203,2,0.563435559890434,0.431290554312847,0
"16",50204,2,0.602112248208335,0.203935273935569,0.186918138830723
"17",50301,3,0.399411646422652,0.516882693405071,0.076356620744002
"18",50302,3,0.55308416807968,0.44691583192032,0
"19",50303,3,0.438981032722583,0.550625973886411,0
"20",50304,3,0.278677496655728,0.599457217372894,0.114172015898527
"21",50401,4,0.526435455901924,0.464830423035045,0
"22",50402,4,0.590159800330622,0.399683154516871,0
"23",50403,4,0.574112153509052,0.417506967047461,0
"24",50404,4,0.613528569246047,0.375386716064472,0
"25",50405,4,0.486454032555819,0.506571404512213,0
"26",50406,4,0.680758089836431,0,0.311838507115005
"27",50501,5,0.460403347415193,0.443952666536208,0.084899796254302
"28",50502,5,0.27914569456444,0.209117174363405,0.376122924853451
"29",50503,5,0.413170468808212,0.298335786911277,0.288493744280511
"30",50601,6,0.60446488691637,0.388922511375608,0
"31",50602,6,0.548412077687409,0.451587922312591,0
"32",50603,6,0.773346509598604,0,0.214035776614311
"33",50701,7,0.626624286576029,0.363904227182033,0
"34",50702,7,0.568549640808529,0.424839131880295,0
"35",50703,7,0.314497298018547,0.685502701981453,0
"36",50704,7,0.505989745438735,0.484838201687178,0
"37",50705,7,0.544437183108105,0.392344356210765,0.052116975062376
"38",50801,8,0.639858856170405,0.350839200883964,0
"39",50802,8,0.688668829198852,0.304627663298406,0
"40",50803,8,0.510093946277682,0.340297489699594,0.12083619170463
"41",50804,8,0.68187367147135,0.310008119863669,0
"42",50805,8,0.500108745920375,0.493869002788018,0
"43",50806,8,0.616681699197063,0.307858205155957,0.06722146725514
"44",50807,8,0.416102417131318,0.157323988290321,0.421373475400688
"45",50901,9,0.58894703937857,0.405417972382642,0
"46",50902,9,0.53306836333518,0.46693163666482,0
"47",50903,9,0.672779453065345,0.270335330736278,0.041065396611749
"48",50904,9,0.575304337069009,0.419337629553459,0
"49",50905,9,0.689344653143549,0.310655346856451,0
"50",51001,10,0.623370013250433,0.320228315156457,0.045797574151463
